TR:MCF7:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:Insulin,TR:NRG1,TR:PBS,TR:Serum,TR:GSK690693i,TR:GSK690693_GSK1120212i,TR:PD173074i,DA:ALL,DV:4EBP1_pS65,DV:ACC_pS79,DV:AKT_pS473,DV:AKT_pT308,DV:AMPK_pT172,DV:BAD_pS112,DV:CHK1_pS345,DV:CHK2_pT68,DV:EGFR_pY1068,DV:EGFR_pY1173,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:FOXO3a_pS318_S321,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:NF-kB-p65_pS536,DV:PDK1_pS241,DV:PKC-alpha_pS657,DV:PRAS40_pT246,DV:Rb_pS807_S811,DV:S6_pS235_S236,DV:S6_pS240_S244,DV:STAT3_pY705,DV:Src_pY416,DV:Src_pY527,DV:TAZ_pS89,DV:YAP_pS127,DV:YB-1_PS102,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:mTOR_pS2448,DV:p27_pT157,DV:p27_pT198,DV:p38_pT180_Y182,DV:p70S6K_pT389,DV:p90RSK_pT359_S363
1,0,0,0,0,0,0,0,0,0,0,1,0,0.720852467238,0.170464616329,0.0710841358554,0.240369678226,1.89634858444,0.600766886737,0.250113514074,0.213907102646,0.0836720043787,0.444515196806,0.120052660062,0.851001841887,0.470764097093,1.1561274502,1.32189720535,1.42595073014,0.201810148451,0.199844484836,0.199621516819,0.513831961578,1.09982636622,0.206694531573,1.16948266982,2.00215027848,3.26446635679,1.24338698183,0.192232327521,0.0883217280359,1.11215958697,0.584206458861,0.387284449668,0.565080403399,0.366320123399,0.466475535732,0.339878327663,0.479948051778,0.617141703801,0.45846085191,0.165598491693,2.07984688017,0.640145847626
1,0,0,0,0,0,0,0,0,0,1,0,0,0.732238209368,0.158994633257,0.549640622012,0.68580364239,1.77503062787,0.613133274631,0.246951344026,0.210620126137,0.0835821262557,0.429826951747,0.117990744293,0.853518963764,0.475427201836,1.12963946456,1.28702640161,1.42983881107,0.202334463067,0.0618819101893,0.140512374645,0.507282477162,1.10919285213,0.203164277754,1.19798385353,1.92284133201,2.97580686519,1.12880350713,0.189438332068,0.0811855785178,1.11673319084,0.600754769126,0.375668358932,0.572127313696,0.380341890438,0.462517616218,0.343553696768,0.444900430054,0.615303208131,0.447562347497,0.170627734144,2.19467593526,0.624436601926
1,0,0,0,0,0,0,0,0,1,0,0,0,0.761022983713,0.179190663086,0.443962131767,0.667950695752,1.56644286842,0.562085529285,0.235595038518,0.200045882837,0.0834678174638,0.420170278841,0.1153159417,0.831485333021,0.471239479335,1.1358212972,1.25386623093,1.32698891575,0.199117745704,0.274188125194,0.230510461633,0.437343704623,1.07922144007,0.201174529245,1.25573468594,2.14600298518,1.86462533498,0.925588141413,0.188276081935,0.0828104977786,1.18207822403,0.690179294944,0.437767150838,0.608594086886,0.368563811733,0.462872184344,0.476294351608,0.478494384856,0.605859470662,0.452514414486,0.198755621065,1.96112021156,0.622378786799
1,0,0,0,0,0,0,0,0,0,0,0,0,0.752291200716,0.171413952432,0.077531137274,0.279849747073,1.63503059456,0.601155120851,0.249526340233,0.204263301884,0.0816976977244,0.424935241414,0.115048510208,0.845022810815,0.471109805346,1.20594049902,1.3563700332,1.38951030494,0.193247349891,0.233329095072,0.205388042491,0.497062718433,1.08902588466,0.2018956414,1.251185973,2.13603280963,2.83379405873,1.1499202169,0.18721227425,0.0846790933562,1.17678321203,0.637223590558,0.418913830998,0.60147316178,0.372029953157,0.462998961442,0.404848577351,0.510021428004,0.612424180187,0.447981314839,0.180938176663,2.28713187058,0.626432109042
1,0,0,1,0,0,0,0,0,1,0,0,0,0.761022983713,0.179190663086,0.443962131767,0.667950695752,1.56644286842,0.562085529285,0.235595038518,0.200045882837,0.0834678174638,0.420170278841,0.1153159417,0.831485333021,0.471239479335,1.1358212972,1.25386623093,1.32698891575,0.199117745704,0.274188125194,0.230510461633,0.437343704623,1.07922144007,0.201174529245,1.25573468594,2.14600298518,1.86462533498,0.925588141413,0.188276081935,0.0828104977786,1.18207822403,0.690179294944,0.437767150838,0.608594086886,0.368563811733,0.462872184344,0.476294351608,0.478494384856,0.605859470662,0.452514414486,0.198755621065,1.96112021156,0.622378786799
1,0,0,0,0,0,0,0,1,1,0,0,0,0.761022983713,0.179190663086,0.443962131767,0.667950695752,1.56644286842,0.562085529285,0.235595038518,0.200045882837,0.0834678174638,0.420170278841,0.1153159417,0.831485333021,0.471239479335,1.1358212972,1.25386623093,1.32698891575,0.199117745704,0.274188125194,0.230510461633,0.437343704623,1.07922144007,0.201174529245,1.25573468594,2.14600298518,1.86462533498,0.925588141413,0.188276081935,0.0828104977786,1.18207822403,0.690179294944,0.437767150838,0.608594086886,0.368563811733,0.462872184344,0.476294351608,0.478494384856,0.605859470662,0.452514414486,0.198755621065,1.96112021156,0.622378786799
1,0,0,1,0,0,0,0,0,0,0,0,0,0.752291200716,0.171413952432,0.077531137274,0.279849747073,1.63503059456,0.601155120851,0.249526340233,0.204263301884,0.0816976977244,0.424935241414,0.115048510208,0.845022810815,0.471109805346,1.20594049902,1.3563700332,1.38951030494,0.193247349891,0.233329095072,0.205388042491,0.497062718433,1.08902588466,0.2018956414,1.251185973,2.13603280963,2.83379405873,1.1499202169,0.18721227425,0.0846790933562,1.17678321203,0.637223590558,0.418913830998,0.60147316178,0.372029953157,0.462998961442,0.404848577351,0.510021428004,0.612424180187,0.447981314839,0.180938176663,2.28713187058,0.626432109042
1,0,0,0,0,0,0,0,1,0,0,0,0,0.752291200716,0.171413952432,0.077531137274,0.279849747073,1.63503059456,0.601155120851,0.249526340233,0.204263301884,0.0816976977244,0.424935241414,0.115048510208,0.845022810815,0.471109805346,1.20594049902,1.3563700332,1.38951030494,0.193247349891,0.233329095072,0.205388042491,0.497062718433,1.08902588466,0.2018956414,1.251185973,2.13603280963,2.83379405873,1.1499202169,0.18721227425,0.0846790933562,1.17678321203,0.637223590558,0.418913830998,0.60147316178,0.372029953157,0.462998961442,0.404848577351,0.510021428004,0.612424180187,0.447981314839,0.180938176663,2.28713187058,0.626432109042
1,0,0,0,0,0,1,0,0,1,0,0,0,0.761022983713,0.179190663086,0.443962131767,0.667950695752,1.56644286842,0.562085529285,0.235595038518,0.200045882837,0.0834678174638,0.420170278841,0.1153159417,0.831485333021,0.471239479335,1.1358212972,1.25386623093,1.32698891575,0.199117745704,0.274188125194,0.230510461633,0.437343704623,1.07922144007,0.201174529245,1.25573468594,2.14600298518,1.86462533498,0.925588141413,0.188276081935,0.0828104977786,1.18207822403,0.690179294944,0.437767150838,0.608594086886,0.368563811733,0.462872184344,0.476294351608,0.478494384856,0.605859470662,0.452514414486,0.198755621065,1.96112021156,0.622378786799
1,1,0,0,0,0,0,0,0,0,0,1,0,0.720852467238,0.170464616329,0.0710841358554,0.240369678226,1.89634858444,0.600766886737,0.250113514074,0.213907102646,0.0836720043787,0.444515196806,0.120052660062,0.851001841887,0.470764097093,1.1561274502,1.32189720535,1.42595073014,0.201810148451,0.199844484836,0.199621516819,0.513831961578,1.09982636622,0.206694531573,1.16948266982,2.00215027848,3.26446635679,1.24338698183,0.192232327521,0.0883217280359,1.11215958697,0.584206458861,0.387284449668,0.565080403399,0.366320123399,0.466475535732,0.339878327663,0.479948051778,0.617141703801,0.45846085191,0.165598491693,2.07984688017,0.640145847626
