# file contains the precomputed z-scores and normalized zscores
# for all 31 drugs.  These precomputed values are based on a
# set of 10,000 random predictions of the test data.  The final
# row contains the mean and variance of the overall score, which
# is used to calculate the signficance of the overall score for
# a set of predictions
Drug19	4.768390317	1
Drug10	4.553287218	0.954889788
Drug28	4.30987642	0.903843044
Drug17	4.292272021	0.900151148
Drug23	4.227921519	0.886655923
Drug9	4.198713413	0.880530563
Drug3	4.160301826	0.872475101
Drug29	4.152928492	0.870928807
Drug22	4.126982852	0.865487634
Drug31	4.122486273	0.864544636
Drug20	4.057499413	0.850915958
Drug15	4.016119404	0.842237975
Drug8	3.918127899	0.821687747
Drug30	3.815270196	0.800117008
Drug1	3.812568676	0.799550461
Drug7	3.80395398	0.797743835
Drug16	3.777902024	0.792280366
Drug11	3.678957497	0.771530276
Drug18	3.642559238	0.763897038
Drug2	3.421205549	0.717475987
Drug25	3.241167828	0.679719489
Drug5	3.211345064	0.673465226
Drug13	2.560134406	0.536896989
Drug14	2.300135392	0.482371458
Drug24	2.286823838	0.479579834
Drug4	2.048741429	0.42965053
Drug21	1.618013577	0.339320708
Drug6	1.516848634	0.318104965
Drug12	0	0
Drug26	0	0
Drug27	0	0
Overall	0.4998029	0.0002926099
